ProductID,Name,Category,Description,Brand,Price,Size
101044184G39,"tất len bốt cho bé gái, tất len cao cổ phong cách hàn quốc cho bé gái",GT01,"       Shopmevabe1688 xin giới thiệu: Tất Len Bốt Cho Bé Gái, Tất Len Cao Cổ Phong Cách Hàn Quốc Cho Bé Gái   Mẫu vớ mới dài qua gối cho con dự sẽ hot nhất mùa lạnh năm nay cho bé gái từ 5-10 tuổ...",OEM,69000.0,39
101948418G40,"giày cầu lông, giày thể thao chạy bộ cao cấp",GTT01,Giầy Cp085đế cao su thiên nhiên cao cấpMay đế toàn bộ giúp tăng độ bềnÁo giầy là vải lưới kết hợp da PU cao cấpLót giầy ôm chọn gang bàn chânMàu: Trắg XanhSize : 36 đến 43...,Chí Phèo,220000.0,40
112826952G39,giầy sandal nữ phong cách thời thượng siêu hot 21802,GSD02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Giày nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân. ...",ĐỒ DA THÀNH LONG TLG,159600.0,39
112827241G41,giày sandal nữ phong cách thời thượng 21823,GSD02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Giày nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân. ...",ĐỒ DA THÀNH LONG TLG,170500.0,41
112957227G40,giày boot nữ cổ lửng da lộn sành điệu dành cho chị em 20457,GT02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Bốt nữ cao cổ dáng cực ôm chân hàng đẹp   • ✧ Màu đen như hình   • ✧ Chức năng: giảm sốc, thoáng khí êm chân.   • ★ Style: Hàn Quốc   • ✧ Thời trang:giày Đi...",ĐỒ DA THÀNH LONG TLG,292200.0,40
112958887G41,giầy sandal nữ thời trang sành điệu 21828,GSD02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Giày nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân. ...",ĐỒ DA THÀNH LONG TLG,150000.0,41
112960663G41,giầy sandal nữ phong cách hàn quốc siêu thời trang 21827,GSD02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Giày nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân. ...",ĐỒ DA THÀNH LONG TLG,100000.0,41
112961804G39,giày sandal nữ 1 phân thời trang cực trend 20799,GSD02,"       *) THÔNG TIN SẢN PHẨM   • ✦ Sandal nữ đẹp phù hợp cho các nàng dịu dàng và cá tính.   • ✧ Chất liệu : Da bò cao cấp - chất liệu lót mềm mại   • ✧ Chức năng: giảm sốc, thoáng khí êm chân....",ĐỒ DA THÀNH LONG TLG,150000.0,39
116018023G41,"giày bốt nam banuli da bê italian chuckka boots  b3ck1 (da itali mềm dẻo, đế kháng trượt, bảo hành trọn đời)",GT01,"Banuli được thành lập vào năm 2015. Qua những năm kinh nghiệm làm giày, chúng tôi không ngừng cải tiến để tạo ra những đôi giày nam có chất lượng tốt và phù hợp với xu hướng thời trang hiện đại. Lợi ...",Banuli,1400000.0,41
116018988G41,"giày bốt nam banuli da bê italian chelsea boots  h1cs1 (da veg itali mềm dẻo, đế siêu nhẹ, bảo hành trọn đời)",GT01,"Banuli được thành lập vào năm 2015. Qua những năm kinh nghiệm làm giày, chúng tôi không ngừng cải tiến để tạo ra những đôi giày nam có chất lượng tốt và phù hợp với xu hướng thời trang hiện đại. Lợi t...",Banuli,1800000.0,41
116295851G41,️ bốt nữ phong cách hàn quốc 20471,GT02,     ...,ĐỒ DA THÀNH LONG TLG,250200.0,41
116296025G41,️ bốt nữ martin nhung retro 20469,GT02,       Boots nữ cao gót cổ ngắn đẹp nhất mùa thu đông 2019 – 2020 là lựa chọn hoàn hảo cho những cô nàng sành điệu còn luyến tiếc mùa hè nhưng vẫn phải giữ ấm đôi chân khi trời trở lạnh. Boot nữ c...,ĐỒ DA THÀNH LONG TLG,250200.0,41
116296537G41,️ giày bốt nữ cổ ngắn long tlg 20323,GT02,"       Với thiết kế thời trang, trẻ trung cùng chất liệu bề mặt da trơn kết hợp cao su tổng hợp phần đế tăng khả năng chống trơn trượt   * Thiết kế độc đáo với sự kết hợp giữa kiểu dáng cổ điển k...",ĐỒ DA THÀNH LONG TLG,202000.0,41
116298169G39,️ giày boot dây kéo phía trước nữ 20414,GT02,       Đóng: Dây kéo phía trước   Kích thước: 35 36 37 38 39   Hoa văn: Màu đặc   Kiểu dáng: Hàn Quốc   Chiều cao ống: Trung ống   Các yếu tố phổ biến: Chuỗi   Chiều cao gót: Cao gót (5-8cm)...,ĐỒ DA THÀNH LONG TLG,690800.0,39
116298542G39,️ bốt nữ hàn quốc đế bệt 20466,GT02,"       Thiết kế trẻ trung, năng động   Dễ dàng phối trang phục   Hàng cao cấp, êm chân   Phù hợp với mọi độ tuổi.   Chất liệu cao cấp, mềm mại mang rất êm chân.   Sản phẩm được may chắc chắn,...",ĐỒ DA THÀNH LONG TLG,250200.0,39
11776869G39,puss in boots,GT02,"The Young Reading series is designed to encourage independent reading and covers a range of subject matter, including the retelling of children's classics, fairytales and a wide variety of narrative n...",,303000.0,39
120048998G40,"giày boot nữ huy hoàng da bò màu nâu, đen ht7038-7920",GT02,  - Giày nữ Huy Hoàng được làm từ da bò cao cấp nên càng sử dụng lâu bề mặt sẽ càng bóng đẹp tự nhiên. Da bò mềm mại sẽ hạn chế tối đa tình trạng trầy xước khi sử dụng lâu ngày.   - Giày nữ Huy Hoàn...,Huy Hoàng,1399000.0,40
12525704G39,giày sandal nữ biggben da bò thật sdn19,GSD02,"Sandal Nữ với chất liệu da bò bền đẹp kết hợp đế cao su êm nhẹ chống trơn trượt giúp bạn Nữ luôn thoải mái, tự tin khi đi chơi, dạo phố, đi làm nơi công sở hay đi dự tiệc.Sandal Nữ được xử lý đặc biệ...",BIGGBEN,339000.0,39
12530748G41,giày sandal nữ biggben da bò thật sdn20,GSD02,"Sandal Nữ với chất liệu da bò bền đẹp kết hợp đế cao su êm nhẹ chống trơn trượt giúp bạn Nữ luôn thoải mái, tự tin khi đi chơi, dạo phố, đi làm nơi công sở hay đi dự tiệc.Sandal Nữ được xử lý đặc biệ...",BIGGBEN,339000.0,41
126507339G39,giày boot nam da bò sunpolo boot03 (đen),GT01,"Giày Boot Nam SUNPOLO BOOT03 giúp các chàng biến hoá linh hoạt mọi phong cách thời trang phái mạnh với thiết kế mặt da trơn tinh giản, xu hướng hiện đại, chất liệu da thật dày dặn, bền bỉ kết hợp đế ...",SUNPOLO,790000.0,39
129233346G39,"hj7038-7920 - giày boot nữ huy hoàng da bò màu nâu, đen",GT02,- Giày nữ Huy Hoàng được làm từ chất liệu da bò cao cấp nên càng sử dụng lâu bề mặt sẽ càng bóng đẹp tự nhiên. Da bò mềm mại sẽ hạn chế tối đa tình trạng trầy xước khi sử dụng lâu ngày.- Giày nữ Huy ...,Huy Hoàng,1399000.0,39
